Source,Target,Weight,Type
1914-1,10,0.25,undirected
1914-2,0,0.10309278,undirected
1914-2,3,0.19587629,undirected
1914-2,5,0.06185567,undirected
1914-2,11,0.041237113,undirected
1914-3,0,0.20454545,undirected
1914-3,1,0.011363636,undirected
1914-3,3,0.125,undirected
1914-3,7,0.056818182,undirected
1914-3,10,0.068181818,undirected
1914-4,0,0.14018692,undirected
1914-4,3,0.14953271,undirected
1914-4,6,0.018691589,undirected
1914-4,9,0.0093457944,undirected
1914-4,10,0.0046728972,undirected
1914-4,12,0.0093457944,undirected
1914-4,13,0.023364486,undirected
1914-5,0,0.11818182,undirected
1914-5,2,0.036363636,undirected
1914-5,4,0.018181818,undirected
1914-5,6,0.027272727,undirected
1914-5,9,0.1,undirected
1914-5,11,0.018181818,undirected
1914-5,13,0.063636364,undirected
1914-6,0,0.070707071,undirected
1914-6,2,0.065656566,undirected
1914-6,6,0.080808081,undirected
1914-6,9,0.14141414,undirected
1914-6,10,0.050505051,undirected
1914-6,13,0.015151515,undirected
1914-7,0,0.17592593,undirected
1914-7,6,0.027777778,undirected
1914-7,9,0.12037037,undirected
1914-7,12,0.037037037,undirected
1914-8,0,0.048780488,undirected
1914-8,1,0.06097561,undirected
1914-8,2,0.018292683,undirected
1914-8,5,0.13414634,undirected
1914-8,6,0.018292683,undirected
1914-8,7,0.012195122,undirected
1914-8,9,0.06097561,undirected
1914-8,10,0.012195122,undirected
1914-8,11,0.012195122,undirected
1914-8,12,0.067073171,undirected
1914-9,0,0.098039216,undirected
1914-9,3,0.098039216,undirected
1914-9,4,0.039215686,undirected
1914-9,5,0.019607843,undirected
1914-9,6,0.039215686,undirected
1914-9,8,0.039215686,undirected
1914-10,0,0.18636364,undirected
1914-10,1,0.0045454545,undirected
1914-10,5,0.068181818,undirected
1914-10,8,0.0045454545,undirected
1914-10,9,0.027272727,undirected
1914-10,11,0.022727273,undirected
1914-10,12,0.081818182,undirected
1914-10,13,0.031818182,undirected
1914-11,0,0.16774194,undirected
1914-11,3,0.10322581,undirected
1914-11,4,0.012903226,undirected
1914-11,5,0.019354839,undirected
1914-11,8,0.019354839,undirected
1914-11,10,0.019354839,undirected
1914-11,11,0.0064516129,undirected
1914-11,13,0.11612903,undirected
1914-12,0,0.087719298,undirected
1914-12,5,0.035087719,undirected
1914-12,7,0.0058479532,undirected
1914-12,9,0.16374269,undirected
1914-12,10,0.046783626,undirected
1914-12,11,0.058479532,undirected
1914-13,0,0.15882353,undirected
1914-13,3,0.035294118,undirected
1914-13,6,0.047058824,undirected
1914-13,9,0.15882353,undirected
1914-13,11,0.052941176,undirected
1914-14,0,0.15646259,undirected
1914-14,5,0.15646259,undirected
1914-14,9,0.081632653,undirected
1914-14,10,0.0068027211,undirected
1914-14,11,0.054421769,undirected
1914-14,13,0.013605442,undirected
1914-15,0,0.17948718,undirected
1914-15,2,0.051282051,undirected
1914-15,3,0.034188034,undirected
1914-15,5,0.038461538,undirected
1914-15,6,0.0042735043,undirected
1914-15,7,0.0042735043,undirected
1914-15,10,0.025641026,undirected
1914-15,11,0.05982906,undirected
1914-15,13,0.021367521,undirected
1914-16,0,0.083700441,undirected
1914-16,2,0.0044052863,undirected
1914-16,3,0.044052863,undirected
1914-16,4,0.0044052863,undirected
1914-16,5,0.057268722,undirected
1914-16,9,0.1277533,undirected
1914-16,10,0.070484581,undirected
1914-16,11,0.061674009,undirected
1914-17,0,0.31034483,undirected
1914-17,1,0.034482759,undirected
1914-17,3,0.20689655,undirected
1914-18,0,0.1037037,undirected
1914-18,4,0.11111111,undirected
1914-18,7,0.1037037,undirected
1914-18,13,0.051851852,undirected
1914-19,0,0.22992701,undirected
1914-19,1,0.010948905,undirected
1914-19,4,0.076642336,undirected
1914-19,5,0.04379562,undirected
1914-19,6,0.03649635,undirected
1914-19,7,0.01459854,undirected
1914-19,9,0.0072992701,undirected
1914-19,12,0.010948905,undirected
1914-20,0,0.17857143,undirected
1914-20,4,0.080357143,undirected
1914-20,9,0.044642857,undirected
1914-20,12,0.017857143,undirected
1914-20,13,0.035714286,undirected
1914-21,0,0.23076923,undirected
1914-21,1,0.038461538,undirected
1914-21,3,0.038461538,undirected
1914-21,4,0.11538462,undirected
1914-21,13,0.11538462,undirected
1914-22,0,0.21323529,undirected
1914-22,9,0.088235294,undirected
1914-22,10,0.058823529,undirected
1914-22,13,0.014705882,undirected
1914-23,0,0.15454545,undirected
1914-23,1,0.027272727,undirected
1914-23,2,0.018181818,undirected
1914-23,3,0.018181818,undirected
1914-23,13,0.15454545,undirected
1914-24,0,0.1423221,undirected
1914-24,2,0.052434457,undirected
1914-24,3,0.056179775,undirected
1914-24,13,0.12359551,undirected
1914-25,0,0.14393939,undirected
1914-25,3,0.083333333,undirected
1914-25,7,0.0075757576,undirected
1914-25,8,0.0075757576,undirected
1914-25,9,0.075757576,undirected
1914-25,10,0.12121212,undirected
1914-25,12,0.015151515,undirected
1914-26,0,0.026819923,undirected
1914-26,1,0.068965517,undirected
1914-26,5,0.057471264,undirected
1914-26,9,0.091954023,undirected
1914-26,10,0.011494253,undirected
1914-26,11,0.061302682,undirected
1914-26,13,0.061302682,undirected
1914-27,0,0.20454545,undirected
1914-27,6,0.075757576,undirected
1914-27,11,0.015151515,undirected
1914-27,13,0.098484848,undirected
1914-28,0,0.13178295,undirected
1914-28,2,0.031007752,undirected
1914-28,3,0.10852713,undirected
1914-28,9,0.054263566,undirected
1914-28,12,0.069767442,undirected
1914-29,0,0.2173913,undirected
1914-29,1,0.01242236,undirected
1914-29,3,0.049689441,undirected
1914-29,5,0.037267081,undirected
1914-29,12,0.049689441,undirected
1914-30,0,0.040462428,undirected
1914-30,6,0.023121387,undirected
1914-30,10,0.011560694,undirected
1914-30,11,0.063583815,undirected
1914-30,12,0.028901734,undirected
1914-30,13,0.1734104,undirected
1915-1,10,0.25,undirected
1915-2,0,0.10989011,undirected
1915-2,1,0.010989011,undirected
1915-2,2,0.010989011,undirected
1915-2,3,0.12087912,undirected
1915-2,5,0.021978022,undirected
1915-2,7,0.010989011,undirected
1915-2,10,0.10989011,undirected
