word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
conjecture,0,0,0,0.000050241158,0,0,0,0,0.000074074074,0,0,0,0,0
what,0,0,0,0,0,0,0,0,0,0,0,0,0,0
follow,0,0.00040950041,0.00075069952,0.00055265273,0,0,0,0,0,0,0.00022248591,0.001338091,0.000066992698,0
road,0,0.0016965017,0,0.0010048232,0,0,0,0,0,0.00088631053,0,0,0,0
at,0,0,0,0,0,0,0,0,0,0,0,0,0,0
last,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lies,0.0012143291,0,0,0,0,0,0,0,0,0,0,0,0,0.0010568697
clear,0.0017000607,0,0,0,0,0,0,0,0,0,0.0051913379,0.0015611062,0,0.0014594867
firm,0,0,0,0,0,0,0,0,0,0,0.0007416197,0.0015611062,0.0001339854,0
before,0.0034001214,0,0,0.0085912379,0.0011912973,0.0012895619,0.00097026149,0,0,0.0035452421,0.0020765352,0,0,0.0014594867
can,0,0,0,0,0,0,0,0,0,0,0,0,0,0
travel,0,0,0.00013649082,0,0,0,0,0,0,0,0.0014090774,0,0,0
without,0.0063145112,0.0022230022,0.0012284174,0,0,0,0.0021830883,0.0029458758,0,0,0.0020765352,0,0,0.0036738802
fear,0.00040477636,0,0,0,0,0,0,0,0,0,0.0028923168,0,0,0.0020634122
or,0,0,0,0,0,0,0,0,0,0,0,0,0,0
embarrassment,0.00012143291,0,0,0,0,0,0,0,0,0,0,0,0,0
ungrudged,0.000040477636,0,0,0,0,0,0,0,0,0,0,0,0,0
unclouded,0,0,0,0,0,0,0,0,0,0,0.00007416197,0,0,0
success,0.00093098563,0.00093600094,0.00081894493,0,0.00087779798,0,0,0,0,0,0.00014832394,0.0018398751,0,0.0014091595
every,0,0,0,0,0,0,0,0,0,0,0,0,0,0
honest,0,0.00035100035,0,0.00045217042,0,0,0.00029107845,0,0,0,0,0,0,0.00080523402
man,0,0,0,0.0026627814,0,0,0,0,0,0,0.00022248591,0,0,0.0040261701
